date,docs,tokens,gambling_hits,restraint_hits,gdi
2023-10-23,1,12,0,0,0.000
2023-10-27,6,47,0,0,0.000
2023-10-31,1,12,0,0,0.000
2023-11-06,1,12,0,0,0.000
2023-11-17,7,24,0,0,0.000
2023-11-20,1,16,0,0,0.000
2023-12-05,2,18,0,0,0.000
2023-12-11,1,4,0,0,0.000
2023-12-14,1,10,0,0,0.000
2023-12-18,2,15,0,0,0.000
2023-12-20,2,15,0,0,0.000
2024-01-20,2,10,0,0,0.000
2024-01-22,2,20,0,0,0.000
2024-01-24,2,13,0,0,0.000
2024-01-25,23,240,0,0,0.000
2024-01-27,6,49,0,0,0.000
2024-01-29,7,72,0,0,0.000
2024-01-30,6,44,0,0,0.000
2024-02-02,5,43,0,0,0.000
2024-02-03,2,10,0,0,0.000
2024-02-04,1,11,0,0,0.000
2024-02-05,3,72,0,0,0.000
2024-02-11,7,84,0,0,0.000
2024-02-20,1,3,0,0,0.000
2024-02-23,3,30,0,0,0.000
2024-02-24,4,25,0,0,0.000
2024-02-28,2,19,0,0,0.000
2024-03-02,4,11,0,0,0.000
2024-03-07,8,52,0,0,0.000
2024-03-14,3,14,0,0,0.000
2024-03-16,5,33,0,0,0.000
2024-03-17,1,4,0,0,0.000
2024-03-20,1,8,0,0,0.000
2024-03-27,2,33,0,0,0.000
2024-04-05,2,25,0,0,0.000
2024-04-06,5,30,1,0,3.333
2024-04-08,2,11,0,0,0.000
2024-04-11,1,2,0,0,0.000
2024-04-13,2,8,0,0,0.000
2024-04-15,1,6,0,0,0.000
2024-04-16,16,125,2,0,1.600
2024-04-17,8,57,1,0,1.754
2024-04-18,1,17,0,0,0.000
2024-04-19,3,32,0,0,0.000
2024-04-21,1,3,0,0,0.000
2024-04-25,2,28,0,0,0.000
2024-04-29,7,87,0,0,0.000
2024-04-30,10,133,0,0,0.000
2024-05-01,9,74,0,0,0.000
2024-05-02,3,7,0,0,0.000
2024-05-04,5,34,0,0,0.000
2024-05-06,10,67,0,0,0.000
2024-05-07,5,60,0,0,0.000
2024-05-08,12,95,0,0,0.000
2024-05-09,6,60,0,0,0.000
2024-05-10,6,47,0,0,0.000
2024-06-12,1,1,0,0,0.000
2024-06-14,1,3,0,0,0.000
2024-06-17,1,2,0,0,0.000
2024-08-29,1,98,2,0,2.041
2024-08-30,7,220,1,0,0.455
2024-08-31,5,36,0,0,0.000
2024-09-02,8,58,2,0,3.448
2024-11-19,3,22,3,0,13.636
2024-11-20,11,96,0,0,0.000
2024-11-21,1,11,0,0,0.000
